taxon_id,nombre_cientifico,nombre_comun,iconic_taxon_name,ruta
586670,Gymnosporia buxifolia,Common Spikethorn,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/153456683/square.jpeg
204246,Atocion armeria,Sweet William Catchfly,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/43993/square.jpg
122241,Donax variabilis,Coquina,Mollusca,https://static.inaturalist.org/photos/10781749/square.jpg
539452,Chelonoidis niger,Galápagos Giant Tortoise,Reptilia,https://inaturalist-open-data.s3.amazonaws.com/photos/37748207/square.jpg
9246,Serinus canaria,Island Canary,Aves,https://inaturalist-open-data.s3.amazonaws.com/photos/12383875/square.jpg
58230,Plantago ovata,Desert Plantain,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/3075386/square.JPG
211020,Spodoptera mauritia,Lawn Armyworm Moth,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/3320000/square.JPG
62228,Ceanothus cordulatus,mountain whitethorn,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/389837281/square.jpg
219582,Ethmia bipunctella,Viper's Bugloss Moth,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/28798636/square.jpg
194133,Evarcha jucunda,Mediterranean white-banded spider,Arachnida,https://static.inaturalist.org/photos/93622572/square.jpg
103480,Ischnura aurora,Aurora Bluetail,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/11335918/square.jpg
68537,Penstemon eatonii,firecracker penstemon,Plantae,https://static.inaturalist.org/photos/38840542/square.jpg
470356,Lixus pulverulentus,Elongated Bean Weevil,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/81644139/square.jpg
128938,Croton glandulosus,Tropic Croton,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/21850400/square.jpg
326880,Limbarda crithmoides,Golden Samphire,Plantae,https://static.inaturalist.org/photos/169780223/square.jpg
160659,Cladium mariscus,Swamp Sawgrass,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/165337683/square.jpeg
16620,Empidonax alnorum,Alder Flycatcher,Aves,https://static.inaturalist.org/photos/198279549/square.jpeg
772984,Sporobolus michauxianus,prairie cordgrass,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/2220946/square.jpg
158463,Aquilegia flavescens,yellow columbine,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/7135144/square.jpg
322872,Artace cribrarius,Dot-lined White,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/2735363/square.jpg
366725,Muehlenbeckia australis,Pohuehue,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/1210289/square.
14175,Petroica macrocephala,Tomtit,Aves,https://inaturalist-open-data.s3.amazonaws.com/photos/219857/square.jpg
153889,Chrysopa nigricornis,Black-horned Green Lacewing,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/4128282/square.jpg
488,Fulica armillata,Red-gartered Coot,Aves,https://static.inaturalist.org/photos/97562325/square.jpg
145703,Stylidium graminifolium,Grass Triggerplant,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/159800080/square.jpg
83016,Dermacentor occidentalis,Pacific Coast Tick,Arachnida,https://static.inaturalist.org/photos/186023264/square.jpg
15045,Oreoscoptes montanus,Sage Thrasher,Aves,https://inaturalist-open-data.s3.amazonaws.com/photos/51086107/square.jpg
153954,Tagetes lunulata,Red-crescent marigold,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/479260647/square.jpg
1587240,Hemileuca sandra,Eastern Buck Moth,Insecta,https://static.inaturalist.org/photos/171209812/square.jpg
167684,Racomitrium lanuginosum,Woolly Fringe-moss,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/348188/square.jpg
335840,Pyrausta inornatalis,Inornate Pyrausta Moth,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/1786261/square.jpg
205321,Mormo maura,Old Lady,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/2131802/square.jpeg
69122,Tapinoma melanocephalum,Ghost Ant,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/174512993/square.jpeg
84781,Cochlodina laminata,Plaited Door-snail,Mollusca,https://inaturalist-open-data.s3.amazonaws.com/photos/331034369/square.jpg
451914,Carlina biebersteinii,Bieberstein's thistle,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/27976418/square.jpg
210944,Asplenium oblongifolium,Shining Spleenwort,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/103693976/square.png
144192,Euonymus obovatus,Running Strawberry-bush,Plantae,https://static.inaturalist.org/photos/1540361/square.jpg
68465,Junonia oenone,Blue-spot Pansy,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/19204279/square.jpg
520951,Phanogomphus lividus,Ashy Clubtail,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/249155/square.jpg
210607,Diastictis fracturalis,Fractured Western Snout,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/436682/square.JPG
876453,Rhinotropis californica,California milkwort,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/40143/square.jpg
176925,Morrisonia confusa,Confused Woodgrain Moth,Insecta,https://static.inaturalist.org/photos/110625564/square.jpg
333735,Himacerus apterus,Tree Damsel Bug,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/522708/square.jpg
3465,Zenaida aurita,Zenaida Dove,Aves,https://inaturalist-open-data.s3.amazonaws.com/photos/1078461/square.jpg
161868,Dicranum polysetum,Waxyleaf Moss,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/293100/square.JPG
130403,Zygaena trifolii,Five-spot Burnet,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/690954/square.jpg
85424,Veratrum album,White Hellebore,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/42505744/square.jpg
